SEASON_ID,HOME_ABRV,HOME_FG_PCT,HOME_FG3_PCT,HOME_FT_PCT,HOME_OREB,HOME_DREB,HOME_AST,HOME_STL,HOME_BLK,HOME_TOV,HOME_PF,AWAY_ABRV,AWAY_FG_PCT,AWAY_FG3_PCT,AWAY_FT_PCT,AWAY_OREB,AWAY_DREB,AWAY_AST,AWAY_STL,AWAY_BLK,AWAY_TOV,AWAY_PF
22020,5,0.457,0.328,0.755,8,34,22,7,4,11,20,7,0.452,0.361,0.766,8,35,26,7,5,14,23
22020,18,0.474,0.62,0.763,10.3,35.7,23.6,9.1,6.7,15,20.8,20,0.442,0.38,0.83,10.2,43.8,20.7,8,4.8,11.1,19.4
